id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0071.01.00012.03	RAB ESTABLISHMENT SR EUL (HSUPA)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00012.04	NB RAB ESTABLISHMENT ATTEMPT EUL (HSUPA)	right	bar	none	#333333	#006600@0.5
seri.gtms.0071.01.00013.01	CALL DROP RATE SPEECH	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00013.02	NB RAB RELEASE SPEECH	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00013.03	CALL DROP RATE Real Time CS DATA	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00013.04	NB RAB RELEASE Real Time CS DATA	right	bar	none	#333333	#006600@0.5
seri.gtms.0071.01.00014.01	NB SYSTEM RELEASE SPEECH	right	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00014.02	DROPPED CALL RATE SPEECH DUE TO HANDOVER	left	cumulatedbar	none	#333333	#00CC00@0.5
seri.gtms.0071.01.00014.04	DROPPED CALL RATE SPEECH DUE TO MISSING NEIGHBORS	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0071.01.00014.05	DROPPED CALL RATE SPEECH LOST UL SYNCH	left	cumulatedbar	none	#333333	#ff0000@0.5
seri.gtms.0071.01.00014.06	DROPPED CALL RATE SPEECH OTHER CAUSES	left	cumulatedbar	none	#333333	#AA0070@0.5
seri.gtms.0071.01.00014.07	DROPPED CALL RATE SPEECH RNC	left	cumulatedbar	none	#333333	#FF9900@0.5
seri.gtms.0071.01.00014.08	DROPPED CALL RATE SPEECH BTS	left	cumulatedbar	none	#333333	#990000@0.5
seri.gtms.0071.01.00014.09	DROPPED CALL RATE SPEECH UE	left	cumulatedbar	none	#333333	#0000FF@0.5
seri.gtms.0071.01.00014.10	DROPPED CALL RATE SPEECH IU	left	cumulatedbar	none	#333333	#006600@0.5
seri.gtms.0071.01.00014.11	DROPPED CALL RATE SPEECH IUR	left	cumulatedbar	none	#333333	#c0c0c0@0.5
seri.gtms.0071.01.00014.12	DROPPED CALL RATE SPEECH RADIO	left	cumulatedbar	none	#333333	#AA7000@0.5
seri.gtms.0071.01.00015.01	CALL DROP RATE Non Real Time PS DATA	left	line	square	#0099FF	#ffffff@1
seri.gtms.0071.01.00015.02	NB RAB RELEASE Non Real Time PS DATA	right	bar	none	#333333	#FF0099@0.5
seri.gtms.0071.01.00015.03	CALL DROP RATE Real Time PS DATA	left	line	circle	#006600	#ffffff@1
seri.gtms.0071.01.00015.04	NB RAB RELEASE Real Time PS DATA	right	bar	none	#333333	#FF0055@0.5
seri.gtms.0071.01.00016.01	CALL DROP RATE HSDPA	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00016.02	NB RAB RELEASE HSDPA	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00016.03	CALL DROP RATE EUL (HSUPA)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00016.04	NB RAB RELEASE EUL (HSUPA)	right	bar	none	#333333	#006600@0.5
seri.gtms.0071.01.00017.01	NB FAILED RAB EST ATTEMPT	right	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00017.02	RATE FAILED RAB EST ATTEMPT EXCEED CONN LIMIT	left	cumulatedbar	none	#333333	#00CC00@0.5
seri.gtms.0071.01.00017.03	RATE FAILED RAB EST ATTEMPT LACK DL ASE	left	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00017.04	RATE FAILED RAB EST ATTEMPT LACK DL CHNL CODE	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0071.01.00017.05	RATE FAILED RAB EST ATTEMPT LACK DL HW	left	cumulatedbar	none	#333333	#ff0000@0.5
seri.gtms.0071.01.00017.06	RATE FAILED RAB EST ATTEMPT LACK DL PWR	left	cumulatedbar	none	#333333	#FF9900@0.5
