id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity	custom_field_1	custom_field_2	custom_field_3
65	BSSGPRS - 587202770 Cell Performance Measurement / Uplink LLC Data Transmission Measurement - uplinkllc_dtm	pmresult_587202770_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		uldt		1	1	24	hour			
12	BSS - 37. MGW CPU Load	*37. MGW CPU Load*.csv	0	6	hour				1	1	24	hour			
21	BSS - abismeas1_abis	*abismeas1_abis*.csv	0	6	hour				1	1	24	hour			
24	BSS - bsc6000_bsc_acc_meas	*bsc6000_bsc_acc_meas*.csv	0	6	hour				1	1	24	hour			
27	BSS - bsc6000_bsc_ass_meas	*bsc6000_bsc_ass_meas*.csv	0	6	hour				1	1	24	hour			
28	BSS - bsc6000_bsc_call_drop	*bsc6000_bsc_call_drop*.csv	0	6	hour				1	1	24	hour			
29	BSS - bsc6000_bsc_call_meas	*bsc6000_bsc_call_meas*.csv	0	6	hour				1	1	24	hour			
30	BSS - bsc6000_bsc_ho_attem	*bsc6000_bsc_ho_attem*.csv	0	6	hour				1	1	24	hour			
31	BSS - bsc6000_bsc_ho_failure	*bsc6000_bsc_ho_failure*.csv	0	6	hour				1	1	24	hour			
32	BSS - bsc6000_bsc_ho_kpi	*bsc6000_bsc_ho_kpi*.csv	0	6	hour				1	1	24	hour			
33	BSS - bsc6000_bsc_ho_succ	*bsc6000_bsc_ho_succ*.csv	0	6	hour				1	1	24	hour			
35	BSS - bsc6000_bsc_inter_rfband	*bsc6000_bsc_inter_rfband*.csv	0	6	hour				1	1	24	hour			
42	BSS - bsc6000_bsc_ratio_rxq	*bsc6000_bsc_ratio_rxq*.csv	0	6	hour				1	1	24	hour			
43	BSS - bsc6000_bsc_trx_meas	*bsc6000_bsc_trx_meas*.csv	0	6	hour				1	1	24	hour			
44	BSS - bsc6000_bts_cell_conf	*bsc6000_bts_cell_conf*.csv	0	6	hour				1	1	24	hour			
45	BSS - bsc6000_bts_conf_meas	*bsc6000_bts_conf_meas*.csv	0	6	hour				1	1	24	hour			
46	BSS - bsc6000_bts_crc_error	*bsc6000_bts_crc_error*.csv	0	6	hour				1	1	24	hour			
47	BSS - bsc6000_bts_flex_meas	*bsc6000_bts_flex_meas*.csv	0	6	hour				1	1	24	hour			
48	BSS - bsc6000_bts_lapd_meas	*bsc6000_bts_lapd_meas*.csv	0	6	hour				1	1	24	hour			
49	BSS - bsc6000_bts_serious	*bsc6000_bts_serious*.csv	0	6	hour				1	1	24	hour			
51	BSS - bsc6000_bts_state_meas	*bsc6000_bts_state_meas*.csv	0	6	hour				1	1	24	hour			
66	BSS - bsc6000_call_discarded	*bsc6000_call_discarded*.csv	0	6	hour				1	1	24	hour			
67	BSS - bsc6000_call_duration	*bsc6000_call_duration*.csv	0	6	hour				1	1	24	hour			
69	BSS - bsc6000_call_gsm_cell_gsm	*bsc6000_call_gsm_cell_gsm*.csv	0	6	hour				1	1	24	hour			
70	BSS - bsc6000_call_incom_rat	*bsc6000_call_incom_rat*.csv	0	6	hour				1	1	24	hour			
71	BSS - bsc6000_call_local_switch	*bsc6000_call_local_switch*.csv	0	6	hour				1	1	24	hour			
73	BSS - bsc6000_call_sdcch_drop_meas	*bsc6000_call_sdcch_drop_meas*.csv	0	6	hour				1	1	24	hour			
74	BSS - bsc6000_cbc_cell	*bsc6000_cbc_cell*.csv	0	6	hour				1	1	24	hour			
75	BSS - bsc6000_cbc_meas	*bsc6000_cbc_meas*.csv	0	6	hour				1	1	24	hour			
76	BSS - bsc6000_chan_assign_concen_failure	*bsc6000_chan_assign_concen_failure*.csv	0	6	hour				1	1	24	hour			
80	BSS - bsc6000_lapd_meas	*bsc6000_lapd_meas*.csv	0	6	hour				1	1	24	hour			
81	BSS - bsc6000_mean_bep	*bsc6000_mean_bep*.csv	0	6	hour				1	1	24	hour			
82	BSS - bsc6000_mr_mean_emr	*bsc6000_mr_mean_emr*.csv	0	6	hour				1	1	24	hour			
83	BSS - bsc6000_mr_nbrrcvblocks	*bsc6000_mr_nbrrcvblocks*.csv	0	6	hour				1	1	24	hour			
84	BSS - bsc6000_mr_neighbor_meas	*bsc6000_mr_neighbor_meas*.csv	0	6	hour				1	1	24	hour			
86	BSS - bsc6000_mr_power_control	*bsc6000_mr_power_control*.csv	0	6	hour				1	1	24	hour			
88	BSS - bsc6000_mr_rqi_meas	*bsc6000_mr_rqi_meas*.csv	0	6	hour				1	1	24	hour			
90	BSS - bsc6000_mr_ta	*bsc6000_mr_ta*.csv	0	6	hour				1	1	24	hour			
91	BSS - bsc6000_mr_tchf_rx_meas	*bsc6000_mr_tchf_rx_meas*.csv	0	6	hour				1	1	24	hour			
92	BSS - bsc6000_mr_tchh_rx_meas	*bsc6000_mr_tchh_rx_meas*.csv	0	6	hour				1	1	24	hour			
93	BSS - bsc6000_mr_up_down	*bsc6000_mr_up_down*.csv	0	6	hour				1	1	24	hour			
94	BSS - bsc6000_mr_user_defined	*bsc6000_mr_user_defined*.csv	0	6	hour				1	1	24	hour			
95	BSS - bsc6000_msc_meas	*bsc6000_msc_meas*.csv	0	6	hour				1	1	24	hour			
96	BSS - bsc6000_mtp3_meas	*bsc6000_mtp3_meas*.csv	0	6	hour				1	1	24	hour			
98	BSS - bsc6000_paging_a	*bsc6000_paging_a*.csv	0	6	hour				1	1	24	hour			
99	BSS - bsc6000_paging_overload_lapd	*bsc6000_paging_overload_lapd*.csv	0	6	hour				1	1	24	hour			
100	BSS - bsc6000_pcu_bsc	*bsc6000_pcu_bsc*.csv	0	6	hour				1	1	24	hour			
101	BSS - bsc6000_pcu_pcu	*bsc6000_pcu_pcu*.csv	0	6	hour				1	1	24	hour			
102	BSS - bsc6000_res_a_meas	*bsc6000_res_a_meas*.csv	0	6	hour				1	1	24	hour			
103	BSS - bsc6000_res_ater_meas	*bsc6000_res_ater_meas*.csv	0	6	hour				1	1	24	hour			
