id	id_page	id_elem	class_object	ligne	id_product
dshd.0095.01.001.gtm.03	dshd.0095.01.001	gtms.0095.01.00003	graph	3	1
seri.gtms.0095.01.00003.01	gtms.0095.01.00003	kpis.0095.01.08001	kpi	1	1
seri.gtms.0095.01.00003.02	gtms.0095.01.00003	kpis.0095.01.08006	kpi	2	1
dshd.0095.01.002.gtm.01	dshd.0095.01.002	gtms.0095.01.00004	graph	1	1
seri.gtms.0095.01.00004.01	gtms.0095.01.00004	kpis.0095.01.03001	kpi	1	1
seri.gtms.0095.01.00004.02	gtms.0095.01.00004	kpis.0095.01.03003	kpi	2	1
dshd.0095.01.002.gtms.0095.01.tch_drop_causes	dshd.0095.01.002	gtms.0095.01.tch_drop_causes	graph	2	1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.03002	gtms.0095.01.tch_drop_causes	kpis.0095.01.03002	kpi	1	1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.05016	gtms.0095.01.tch_drop_causes	kpis.0095.01.05016	kpi	2	1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.05004	gtms.0095.01.tch_drop_causes	kpis.0095.01.05004	kpi	3	1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.05006	gtms.0095.01.tch_drop_causes	kpis.0095.01.05006	kpi	4	1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.05008	gtms.0095.01.tch_drop_causes	kpis.0095.01.05008	kpi	5	1
seri.gtms.0095.01.tch_drop_causes.kpis.0095.01.05037	gtms.0095.01.tch_drop_causes	kpis.0095.01.05037	kpi	6	1
dshd.0095.01.002.gtm.03	dshd.0095.01.002	gtms.0095.01.00006	graph	3	1
seri.gtms.0095.01.00006.03	gtms.0095.01.00006	kpis.0095.01.07003	kpi	1	1
seri.gtms.0095.01.00006.01	gtms.0095.01.00006	kpis.0095.01.07001	kpi	2	1
seri.gtms.0095.01.00006.02	gtms.0095.01.00006	kpis.0095.01.07002	kpi	3	1
seri.gtms.0095.01.00006.10	gtms.0095.01.00006	kpis.0095.01.07021	kpi	4	1
seri.gtms.0095.01.00006.11	gtms.0095.01.00006	kpis.0095.01.07022	kpi	5	1
seri.gtms.0095.01.00006.07	gtms.0095.01.00006	kpis.0095.01.07014	kpi	6	1
dshd.0095.01.002.gtm.04	dshd.0095.01.002	gtms.0095.01.00009	graph	4	1
seri.gtms.0095.01.00009.01	gtms.0095.01.00009	kpis.0095.01.15003	kpi	1	1
seri.gtms.0095.01.00009.02	gtms.0095.01.00009	kpis.0095.01.15005	kpi	2	1
