id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0075.03.00001.18	TooHighLevUpDownOutZone Rate (%)	left	cumulatedbar	none	#333333	#AA0070@0.5
seri.gtms.0075.03.00001.19	TrafHandover Rate (%)	left	cumulatedbar	none	#333333	#0000FF@0.5
seri.gtms.0075.03.00001.20	gencapture Rate (%)	left	cumulatedbar	none	#333333	#009900@0.5
seri.gtms.0075.03.00001.21	TooShortDistance Rate (%)	left	cumulatedbar	none	#333333	#AA00AA@0.5
seri.gtms.0075.03.00001.22	BadQualHR Rate (%)	left	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0075.03.00001.23	GoodQualFR Rate (%)	left	cumulatedbar	none	#333333	#FF9900@0.5
seri.gtms.0075.03.00001.24	TFO Rate (%)	left	cumulatedbar	none	#333333	#FFFF99@0.5
seri.gtms.0075.03.00001.25	Fast Traffic HO Rate (%)	left	cumulatedbar	none	#333333	#9933FF@0.5
seri.gtms.0075.03.00001.26	ReturnCSZone Rate (%)	left	cumulatedbar	none	#333333	#FF00FF@0.5
seri.gtms.0075.03.00001.29	O&M Rate (%)	left	cumulatedbar	none	#333333	#808080@0.5
seri.gtms.0075.03.00001.30	Directed Retry Rate (%)	left	cumulatedbar	none	#333333	#0000FF@0.5
seri.gtms.0075.03.00001.31	Rapid level drop Rate (%)	left	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.03.00001.32	OtherCauses Rate (%)	left	cumulatedbar	none	#333333	#009999@0.5
seri.gtms.0075.02.00001.kpis.0075.02.18024	Data Volume Downlink of GPRS EDGE RLC (kbytes)	left	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00001.kpis.0075.02.18023	Data Volume Uplink of GPRS EDGE RLC (kbytes)	left	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00001.05	TBF Simultaneous DL Number (Nb)	right	line	square	#0099FF	#FFFFFF@1
seri.gtms.0075.02.00001.06	TBF Simultaneous UL Number (Nb)	right	line	square	#FF0000	#FFFFFF@1
seri.gtms.0075.02.llc_volumes.kpis.0075.02.18025	Data Volume Downlink LLC (kbytes)	left	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.llc_volumes.kpis.0075.02.18026	Data Volume Uplink LLC (kbytes)	left	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00002.01	Paging Number for PS and CS (Nb)	left	line	circle	#333333	#FFFFFF@1
seri.gtms.0075.02.00002.kpis.0075.02.nb_packet_pagings_cs	Paging Number for CS (Nb)	left	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00002.kpis.0075.02.nb_packet_pagings_ps	Paging Number for PS (Nb)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00003.kpis.0075.02.18125	TBF Establishment Success Downlink Rate (%)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.02.00003.kpis.0075.02.18126	TBF Establishment Success Uplink Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0075.02.00003.kpis.0075.02.18053	TBF Establishment Attempts Downlink Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00003.kpis.0075.02.18054	TBF Establishment Attempts Uplink Number (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00004.01	TBF Rejected Due to Congestion DL Rate (%)	left	line	square	#0099FF	#FFFFFF@1
seri.gtms.0075.02.00004.02	TBF Rejected Due to Congestion UL Rate (%)	left	line	square	#FF0000	#FFFFFF@1
seri.gtms.0075.02.00004.kpis.0075.02.18053	TBF Establishment Attempts Downlink Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00004.kpis.0075.02.18054	TBF Establishment Attempts Uplink Number (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18074	Throughput Downlink GPRS (Kbits/s)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18075	Throughput Uplink GPRS (Kbits/s)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18031	Data Volume Downlink of GPRS RLC (CS-x) (kbytes)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.gprs_throughput.kpis.0075.02.18034	Data Volume Uplink of GPRS RLC (CS-x) (kbytes)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18076	Throughput Downlink EDGE (Kbits/s)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18077	Throughput Uplink EDGE (Kbits/s)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18037	Data Volume Downlink of EDGE RLC (MSC-x) (kbytes)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.edge_throughput.kpis.0075.02.18040	Data Volume Uplink of EDGE RLC (MSC-x) (kbytes)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00005.01	Throughput Average Per TBF Downlink (Kbits/s)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.02.00005.02	Throughput Average Per TBF Uplink (Kbits/s)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0075.02.00005.03	PDCH Average Number Per TBF DL (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00005.04	PDCH Average Number Per TBF UL (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00006.01	Throughput Average Per PDCH Downlink (kbps)	left	line	square	#0099FF	#FFFFFF@1
seri.gtms.0075.02.00006.02	Throughput Average Per PDCH Uplink (kbps)	left	line	square	#FF0000	#FFFFFF@1
seri.gtms.0075.02.00006.kpis.0075.02.18101	PDCH Available Number (GPRS/EDGE) (UP and DL) (Nb)	right	bar	none	#333333	#00FF00@0.5
seri.gtms.0075.02.00007.01	Data Volume Downlink of GPRS RLC (CS-x) (kbytes)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.02.00007.02	Data Volume Uplink of GPRS RLC (CS-x) (kbytes)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0075.02.00007.03	Data Volume Downlink Retransmitted Rate for GPRS RLC (CS-x) (%)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.02.00007.04	Data Volume Uplink Retransmitted Rate for GPRS RLC (CS-x) (%)	left	line	circle	#FF0000	#ffffff@1
