id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0095.01.tch_traffic.kpis.0095.01.tch_half_rate_amr_erlang	TCH Traffic Half Rate AMR Erlang (erlang)	right	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0095.01.tch_traffic.kpis.0095.01.tch_mean_holding_time	TCH Mean Holding Time (s)	left	line	circle	#FF0055	#FFFFFF@1
seri.gtms.0095.01.tch_interference_band.kpis.0095.01.interference_band_1_rate_on_idle_tch	Idle TCH Ratio On Interference Band 1 (%)	left	cumulatedbar	none	#333333	#FF0000@0.5
seri.gtms.0095.01.tch_interference_band.kpis.0095.01.interference_band_2_rate_on_idle_tch	Idle TCH Ratio On Interference Band 2 (%)	left	cumulatedbar	none	#333333	#FF0099@0.5
seri.gtms.0095.01.tch_interference_band.kpis.0095.01.interference_band_3_rate_on_idle_tch	Idle TCH Ratio On Interference Band 3 (%)	left	cumulatedbar	none	#333333	#FFAA00@0.5
seri.gtms.0095.01.tch_interference_band.kpis.0095.01.interference_band_4_rate_on_idle_tch	Idle TCH Ratio On Interference Band 4 (%)	left	cumulatedbar	none	#333333	#FFFF00@0.5
seri.gtms.0095.01.tch_interference_band.kpis.0095.01.interference_band_5_rate_on_idle_tch	Idle TCH Ratio On Interference Band 5 (%)	left	cumulatedbar	none	#333333	#00CC00@0.5
seri.gtms.0095.01.call_setup.kpis.0095.01.nb_assignment_attempts	TCH Attempts Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.call_setup.kpis.0095.01.call_setup_success_rate	Call Setup Success Rate (%)	left	line	circle	#ff0000	#ffffff@1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.nb_immediate_assignment_attempts	SDCCH Assignment Requests Number (Nb)	right	bar	none	#333333	#FF0000@0.5
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.nb_assignment_attempts	TCH Attempts Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.immediate_assignment_success_rate	SDCCH Assignment Success Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0095.01.sdcch_and_tch_assignment.kpis.0095.01.assignment_success_rate	TCH Assignment Success Rate (%)	left	line	circle	#0099FF	#ffffff@1
