RNCs;Cells Label;Cells
BHERNC4;UZG09K;BHERNC4_UZG09K
BHERNC4;UZG09L;BHERNC4_UZG09L
BHERNC4;UZG09M;BHERNC4_UZG09M
BHERNC4;UZG09N;BHERNC4_UZG09N
BHERNC4;UZG09P;BHERNC4_UZG09P
BHERNC4;USA07C;BHERNC4_USA07C
BHERNC4;USA07B;BHERNC4_USA07B
BHERNC4;USA07A;BHERNC4_USA07A
BHERNC4;UPK39P;BHERNC4_UPK39P
BHERNC4;UPK39N;BHERNC4_UPK39N
BHERNC4;UPK39M;BHERNC4_UPK39M
BHERNC4;UPK39L;BHERNC4_UPK39L
BHERNC4;UPK39K;BHERNC4_UPK39K
BHERNC4;UPK39J;BHERNC4_UPK39J
BHERNC4;UPK39I;BHERNC4_UPK39I
BHERNC4;UPK39H;BHERNC4_UPK39H
BHERNC4;UPK39G;BHERNC4_UPK39G
BHERNC4;UPK39C;BHERNC4_UPK39C
BHERNC4;UDS02L;BHERNC4_UDS02L
BHERNC4;UDS02K;BHERNC4_UDS02K
BHERNC4;UDS02J;BHERNC4_UDS02J
BHERNC4;UDS02I;BHERNC4_UDS02I
BHERNC4;UDS02H;BHERNC4_UDS02H
BHERNC4;UDS02G;BHERNC4_UDS02G
BHERNC4;UDS02C;BHERNC4_UDS02C
BHERNC4;UDS02B;BHERNC4_UDS02B
BHERNC4;UDS02A;BHERNC4_UDS02A
BHERNC4;UPK39B;BHERNC4_UPK39B
BHERNC4;UPK39A;BHERNC4_UPK39A
BHERNC4;UDJ11C;BHERNC4_UDJ11C
BHERNC4;UDS21I;BHERNC4_UDS21I
BHERNC4;UDS21H;BHERNC4_UDS21H
BHERNC4;UDS21G;BHERNC4_UDS21G
BHERNC4;UDJ11B;BHERNC4_UDJ11B
BHERNC4;UDJ11A;BHERNC4_UDJ11A
BHERNC4;UAZ02L;BHERNC4_UAZ02L
BHERNC4;UHB011M;BHERNC4_UHB011M
BHERNC4;UHB011J;BHERNC4_UHB011J
BHERNC4;UHB011G;BHERNC4_UHB011G
